School ID,School Name,Street Address,City,State,ZIP Code,Phone Number,School State ID,School Level,Lowest Grade,Highest Grade,Latitude,Longitude,School Website,Cluster,Principal Name,Mapped Location
165,Buena Vista Elementary,1531 9th Avenue North,Nashville,TN,37208,(615)291-6762,70,Elementary School,Grade P4,Grade 4,36.1777411585,-86.7981380508,http://schools.mnps.org/buena-vista-enhanced-option-elementary-school,Pearl-Cohn,Mrs. Myra Taylor,"(36.1777411585, -86.7981380508)"
419,Cambridge Early Learning Center,2325 Hickory Highlands Dr,Antioch,TN,37013,(615)687-4560,7005,Elementary School,Grade P4,Grade P4,36.0603500916,-86.641017433,http://schools.mnps.org/cambridge-early-learning-center,,Mrs. DeeAnne Miree,"(36.0603500916, -86.641017433)"
181,Cameron College Preparatory,1034 1st Avenue South,Nashville,TN,37210,(615)806-6320,8010,Charter,Grade 5,Grade 8,36.148592789,-86.7639990186,http://www.cameroncollegeprep.org/,Glencliff,Mr. Tait  Danhausen,"(36.148592789, -86.7639990186)"
184,Cane Ridge Elementary,3884 Asheford Trace,Antioch,TN,37013,(615)641-7824,82,Elementary School,Grade K,Grade 4,36.0397196657,-86.6181506279,http://schools.mnps.org/cane-ridge-elementary-school,Cane Ridge,Ms Donna  Wilburn,"(36.0397196657, -86.6181506279)"
182,Cane Ridge High School,12848 Old Hickory Blvd.,Antioch,TN,37013,(615)687-4000,77,High School,Grade 9,Grade 12,36.0302884296,-86.621230214,http://schools.mnps.org/cane-ridge-high-school,Cane Ridge,Mrs. Michel  Sanchez-Wall,"(36.0302884296, -86.621230214)"
185,Carter-Lawrence Elementary,1118 12th Avenue South,Nashville,TN,37203,(615)291-7333,670,Elementary School,Grade P4,Grade 4,36.1436534419,-86.7858534926,http://schools.mnps.org/carterlawrence-elementary-school,,Dr. Sherleta Sanders,"(36.1436534419, -86.7858534926)"
186,Casa Azafran Early Learning Center,2195 Nolensville Road,Nashville,TN,37211,(615)291-4672,7020,Elementary School,Grade P4,Grade P4,36.1265171601,-86.7533987496,http://schools.mnps.org/casa-azafrn-early-learning-center,,Ms. Dalila  Duarte,"(36.1265171601, -86.7533987496)"
200,Chadwell Elementary,321 Port Drive,Madison,TN,37115,(615)860-1459,105,Elementary School,Grade P3,Grade 4,36.25637022,-86.7416710943,http://schools.mnps.org/chadwell-elementary-school,Maplewood,Ms. Elnora  Mitchell,"(36.25637022, -86.7416710943)"
205,Charlotte Park Elementary,480 Annex Ave.,Nashville,TN,37209,(615)353-2006,110,Elementary School,Grade P3,Grade 4,36.1512452389,-86.8837135472,http://schools.mnps.org/charlotte-park-elementary-school,Hillwood,Ms. Julia Elmore,"(36.1512452389, -86.8837135472)"
215,Cockrill Elementary,4701 Indiana Ave,Nashville,TN,37209,(615)298-8075,120,Elementary School,Grade P3,Grade 4,36.1562064576,-86.8451449272,http://schools.mnps.org/cockrill-elementary-school,Pearl-Cohn,Dr. Darlos Comer,"(36.1562064576, -86.8451449272)"
225,Cole Elementary,5060 Colemont Dr.,Antioch,TN,37013,(615)333-5043,130,Elementary School,Grade P4,Grade 4,36.0583352576,-86.6986202084,http://schools.mnps.org/cole-elementary-school,Cane Ridge,Dr. Darwin  Mason Sr,"(36.0583352576, -86.6986202084)"
448,Cora Howe School,1928 Greenwood Avenue,Nashville,TN,37206,(615)262-6675,443,Special Education,Grade K,Grade 12,36.1889302687,-86.7345832942,http://schools.mnps.org/cora-howe-school,,Mr. Kristopher  Winfrey,"(36.1889302687, -86.7345832942)"
783,Creswell Middle School of the Arts,3500 John Mallette Drive,Nashville,TN,37218,(615)291-6515,700,Middle School,Grade 5,Grade 8,36.1960632171,-86.8375393872,http://schools.mnps.org/creswell-middle-prep-school-of-the-arts,,Ms. Trellaney Lane,"(36.1960632171, -86.8375393872)"
235,Crieve Hall Elementary,498 Hogan Road,Nashville,TN,37220,(615)333-5059,145,Elementary School,Grade K,Grade 4,36.0657457496,-86.7581030533,http://schools.mnps.org/crieve-hall-elementary-school,John Overton,Mr. Nate Miley,"(36.0657457496, -86.7581030533)"
238,Croft Middle,482 Elysian Fields Road,Nashville,TN,37211,(615)332-0217,148,Middle School,Grade 5,Grade 8,36.0874749426,-86.7341476906,http://schools.mnps.org/croft-design-center-middle-prep,John Overton,Dr. Jeremy Lewis,"(36.0874749426, -86.7341476906)"
240,Cumberland Elementary,4247 Cato Road,Nashville,TN,37218,(615)291-6370,150,Elementary School,Grade P3,Grade 4,36.2120690993,-86.866568623,http://schools.mnps.org/cumberland-elementary-school,Whites Creek,Mrs. Carolyn Cobbs,"(36.2120690993, -86.866568623)"
560,Dan Mills Elementary,4106 Kennedy Avenue,Nashville,TN,37216,(615)262-6677,160,Elementary School,Grade P3,Grade 4,36.2186382608,-86.7170839527,http://schools.mnps.org/dan-mills-elementary-school,Stratford,Mr. Robert Yates,"(36.2186382608, -86.7170839527)"
252,Dodson Elementary,4401 Chandler Rd.,Hermitage,TN,37076,(615)885-8806,165,Elementary School,Grade P4,Grade 4,36.1909084815,-86.6033179312,http://schools.mnps.org/dodson-elementary-school,McGavock,Mrs. Tiffany Curtis,"(36.1909084815, -86.6033179312)"
260,Donelson Middle,110 Stewarts Ferry Pike,Nashville,TN,37214,(615)884-4080,175,Middle School,Grade 5,Grade 8,36.1667225726,-86.656336234,http://schools.mnps.org/donelson-middle-prep,McGavock,Ms. Jennifer Rheinecker,"(36.1667225726, -86.656336234)"
265,Dupont Elementary,1311 Ninth St.,Old Hickory,TN,37138,(615)847-7305,180,Elementary School,Grade P4,Grade 4,36.2613820968,-86.652625791,http://schools.mnps.org/dupont-elementary-school,McGavock,Mrs. Stephanie  Hoskins,"(36.2613820968, -86.652625791)"
270,Dupont-Hadley Middle,1901 Old Hickory Blvd.,Old Hickory,TN,37138,(615)847-7300,190,Middle School,Grade 5,Grade 8,36.2497784913,-86.6427891084,http://schools.mnps.org/dupont-hadley-middle-prep,McGavock,Dr. Kevin  Armstrong,"(36.2497784913, -86.6427891084)"
275,Dupont-Tyler Middle,431 Tyler Dr.,Hermitage,TN,37076,(615)885-8827,185,Middle School,Grade 5,Grade 8,36.1996225114,-86.6125957599,http://schools.mnps.org/dupont-tyler-middle-prep,McGavock,Dr. Bianca Jefferson,"(36.1996225114, -86.6125957599)"
278,Eagle View Elementary,1470 Eagle View Blvd.,Antioch,TN,37013,(615)259-4636,115,Elementary School,Grade P3,Grade 4,,,https://schools.mnps.org/eagle-view-elementary-school,Cane Ridge,Mr. Shawn Lawrence,
280,Eakin Elementary,2500 Fairfax Avenue,Nashville,TN,37212,(615)298-8076,195,Elementary School,Grade P3,Grade 4,36.1351431922,-86.8076066846,http://schools.mnps.org/eakin-elementary-school,Hillsboro,Mr. Eric Hartfelder,"(36.1351431922, -86.8076066846)"
286,East End Preparatory School,1460 McGavock Pike,Nashville,TN,37216,(615)630-7470,8009,Charter,Grade K,Grade 5,36.2069950352,-86.7182717708,http://www.eastendprep.org/,,Mr. Jim  Leckrone,"(36.2069950352, -86.7182717708)"
296,East Nashville Middle,2000 Greenwood Ave,Nashville,TN,37206,(615)262-6670,296,Middle School,Grade 5,Grade 8,36.1888616451,-86.7332427155,http://schools.mnps.org/east-nashville-magnet-middle-prep,,Mr. Bruce Jackson,"(36.1888616451, -86.7332427155)"
290,East Nashville School,110 Gallatin Road,Nashville,TN,37206,(615)262-6947,203,High School,Grade 9,Grade 12,36.1806264426,-86.7504713705,http://schools.mnps.org/east-nashville-magnet-high-school,,Dr. Jamie Jenkins,"(36.1806264426, -86.7504713705)"
305,Explore Community School,217 South 10th Street,Nashville,TN,37206,(615)784-8222,8060,Charter,Grade K,Grade 2,36.1743641454,-86.7516488877,http://www.explorecommunityschool.com/,,Jon  Driskell,"(36.1743641454, -86.7516488877)"
308,Fall-Hamilton Elementary,510 Wedgewood Ave,Nashville,TN,37203,(615)291-6380,220,Elementary School,Grade P3,Grade 4,36.1334718393,-86.7662062825,http://schools.mnps.org/fallhamilton-enhanced-option-school,Glencliff,Mr. Mathew  Portell,"(36.1334718393, -86.7662062825)"
315,Gateway Elementary,1524 Monticello Avenue,Madison,TN,37115,(615)860-1465,235,Elementary School,Grade K,Grade 4,36.2922088797,-86.7106601795,http://schools.mnps.org/gateway-elementary-school,Hunters Lane,Mr. John  Garland,"(36.2922088797, -86.7106601795)"
320,Glencliff Elementary,120 Antioch Pike,Nashville,TN,37211,(615)333-5105,240,Elementary School,Grade K,Grade 4,36.101625851,-86.7230998317,http://schools.mnps.org/glencliff-elementary-school,Glencliff,Ms Hopkins  Julie,"(36.101625851, -86.7230998317)"
325,Glencliff High School,160 Antioch Pike,Nashville,TN,37211,(615)333-5070,245,High School,Grade 9,Grade 12,36.1014006831,-86.7274692859,http://schools.mnps.org/glencliff-high-school,Glencliff,Mr. Clint  Wilson,"(36.1014006831, -86.7274692859)"
330,Glendale Elementary,800 Thompson Ave,Nashville,TN,37204,(615)279-7970,250,Elementary School,Grade P3,Grade 4,36.0959359228,-86.7839065582,http://schools.mnps.org/glendale-elementary-school,,Mrs. Jeanna Collins,"(36.0959359228, -86.7839065582)"
335,Glengarry Elementary,200 Finley Dr.,Nashville,TN,37217,(615)360-2900,255,Elementary School,Grade P3,Grade 4,36.1103898927,-86.7064250194,http://schools.mnps.org/glengarry-elementary-school,Glencliff,Ms. Leslie Gordon,"(36.1103898927, -86.7064250194)"
345,Glenview Elementary,1020 Patricia Dr.,Nashville,TN,37217,(615)360-2906,265,Elementary School,Grade P3,Grade 4,36.1275704726,-86.7063679645,http://schools.mnps.org/glenview-elementary-school,Glencliff,Dr. Marsha  McGill,"(36.1275704726, -86.7063679645)"
350,Goodlettsville Elementary,514 Donald Ave.,Goodlettsville,TN,37072,(615)859-8950,270,Elementary School,Grade P3,Grade 4,36.3129393439,-86.7104870774,http://schools.mnps.org/goodlettsville-elementary-school,Hunters Lane,Mrs. Tracy  Gibson,"(36.3129393439, -86.7104870774)"
355,Goodlettsville Middle,300 South Main Street,Goodlettsville,TN,37072,(615)859-8956,275,Middle School,Grade 5,Grade 8,36.3181505215,-86.7124640873,http://schools.mnps.org/goodlettsville-middle-prep,Hunters Lane,Ms. Beatriz Salgado,"(36.3181505215, -86.7124640873)"
360,Gower Elementary,650 Old Hickory Blvd.,Nashville,TN,37209,(615)353-2012,280,Elementary School,Grade P3,Grade 4,36.1153420518,-86.922286851,http://schools.mnps.org/gower-elementary-school,Hillwood,Ms. Barbara  Frazier,"(36.1153420518, -86.922286851)"
365,Gra-Mar Middle,575 Joyce lane,Nashville,TN,37216,(615)262-6685,285,Middle School,Grade 5,Grade 8,36.2328428043,-86.7451605246,http://schools.mnps.org/gramar-middle-prep,Maplewood,Ms. Sonya Brooks,"(36.2328428043, -86.7451605246)"
370,Granbery Elementary,5501 Hill Road,Brentwood,TN,37027,(615)333-5112,290,Elementary School,Grade K,Grade 4,36.0467903017,-86.753046003,http://schools.mnps.org/granbery-elementary-school,John Overton,Mr. Chad  High,"(36.0467903017, -86.753046003)"
434,H.G. Hill Middle School,150 Davidson Road,Nashville,TN,37205,(615)353-2020,295,Middle School,Grade 5,Grade 8,36.1163756827,-86.8667300076,http://schools.mnps.org/hg-hill-middle-prep,Hillwood,Dr. Carrie Jones,"(36.1163756827, -86.8667300076)"
395,Harpeth Valley Elementary,7840 Learning Lane,Nashville,TN,37221,(615)662-3015,300,Elementary School,Grade P3,Grade 4,36.0455259589,-86.9580499609,http://schools.mnps.org/harpeth-valley-elementary-school,Hillwood,Dr. Ann-Marie Gleason,"(36.0455259589, -86.9580499609)"
397,Harris-Hillman Special Education,1706 26th Avenue South,Nashville,TN,37212,(615)298-8085,302,Special Education,Grade P3,Grade 12,36.1375948541,-86.8076042098,http://schools.mnps.org/harrishillman-school,,Mr. Gerry Altieri,"(36.1375948541, -86.8076042098)"
230,Hattie Cotton Elementary,1033 West Greenwood Avenue,Nashville,TN,37206,(615)262-6981,140,Elementary School,Grade P4,Grade 4,36.1910704106,-86.7477215122,http://schools.mnps.org/hattie-cotton-stem-magnet-elementary-school,Maplewood,Ms. Jocelyn Adams,"(36.1910704106, -86.7477215122)"
400,Haynes Middle,510 West Trinity Lane,Nashville,TN,37207,(615)262-6688,305,Middle School,Grade 5,Grade 8,36.2076401818,-86.7891140421,http://schools.mnps.org/haynes-middle-healthmedical-science-design-center,,Dr. Robin Allen,"(36.2076401818, -86.7891140421)"
405,Haywood Elementary,3790 Turley Drive,Nashville,TN,37211,(615)333-5118,310,Elementary School,Grade P3,Grade 4,36.074169073,-86.708069174,http://schools.mnps.org/haywood-elementary-school,John Overton,Mrs. Megan Galloway,"(36.074169073, -86.708069174)"
410,Head Middle,1830 Jo Johnston Ave,Nashville,TN,37203,(615)329-8160,315,Middle School,Grade 5,Grade 8,36.1586049933,-86.8044055117,http://schools.mnps.org/head-middle-magnet-prep,,Dr. Tonja  Williams,"(36.1586049933, -86.8044055117)"
552,Henry C Maxwell Elementary,5535 Blue Hole Road,Antioch,TN,37013,(615)333-7180,318,Elementary School,Grade P3,Grade 4,36.0308340173,-86.673952123,http://schools.mnps.org/henry-c-maxwell-elementary-school,Cane Ridge,Dr. Bernice Russell,"(36.0308340173, -86.673952123)"
415,Hermitage Elementary,3800 Plantation Dr.,Hermitage,TN,37076,(615)885-8838,320,Elementary School,Grade P3,Grade 4,36.1979902099,-86.6353701384,http://schools.mnps.org/hermitage-elementary-school,McGavock,Ms Matthew Owensby,"(36.1979902099, -86.6353701384)"
420,Hickman Elementary,112 Stewarts Ferry Pk,Nashville,TN,37214,(615)884-4020,327,Elementary School,Grade P3,Grade 4,36.1649798716,-86.6574788374,http://schools.mnps.org/hickman-elementary-school,McGavock,Dr. Kimberly Fowler,"(36.1649798716, -86.6574788374)"
435,Hillsboro High,3812 Hillsboro Road,Nashville,TN,37215,(615)298-8400,335,High School,Grade 9,Grade 12,36.1070656078,-86.8122291617,http://schools.mnps.org/hillsboro-high-school,Hillsboro,Dr. Andrew S Pelham,"(36.1070656078, -86.8122291617)"
440,Hillwood High,400 Davidson Road,Nashville,TN,37205,(615)353-2025,340,High School,Grade 9,Grade 12,36.1188066874,-86.8739001973,http://schools.mnps.org/hillwood-high-school,Hillwood,Dr. Stephen Sheaffer,"(36.1188066874, -86.8739001973)"
451,Hull-Jackson Elementary,1015 Kellow St,Nashville,TN,37208,(615)291-6601,350,Elementary School,Grade P3,Grade 4,36.1903186918,-86.8071782328,http://schools.mnps.org/hull-jackson-montessori-school,,Mrs. Martha  Phillips,"(36.1903186918, -86.8071782328)"
450,Hume-Fogg High,700 Broadway,Nashville,TN,37203,(615)291-6300,355,High School,Grade 9,Grade 12,36.1595246071,-86.781536017,http://schools.mnps.org/humefogg-academic-magnet-high-school,,Dr. Kellie Hargis,"(36.1595246071, -86.781536017)"
452,Hunters Lane High,1150 Hunters Lane,Nashville,TN,37207,(615)860-1401,358,High School,Grade 9,Grade 12,36.2788275473,-86.7538434982,http://schools.mnps.org/hunters-lane-high-school,Hunters Lane,Dr. Susan  Kessler,"(36.2788275473, -86.7538434982)"
175,Ida B. Wells Elementary,244 Foster St.,Nashville,TN,37207,(615)291-6361,80,Elementary School,Grade P3,Grade 4,36.1783097577,-86.769001134,http://schools.mnps.org/caldwell-enhanced-option-elementary-school,Maplewood,Mr. Dexter Adams,"(36.1783097577, -86.769001134)"
455,Inglewood Elementary,1700 Riverside Drive,Nashville,TN,37216,(615)262-6697,360,Elementary School,Grade P4,Grade 4,36.1978312773,-86.7238406355,http://schools.mnps.org/inglewood-elementary-school,Stratford,Mrs. Tracy  McPherson,"(36.1978312773, -86.7238406355)"
457,Intrepid College Prep Charter,5234 Bell Forge Lane East,Antioch,TN,37013,(615)810-8443,8048,Charter,Grade 5,Grade 9,36.0501591002,-86.6457200764,http://intrepidcollegeprep.org/,,Ms. Lizzie Stewart,"(36.0501591002, -86.6457200764)"
510,Isaac Litton Middle,4601 Hedgewood Drive,Nashville,TN,37216,(615)262-6700,365,Middle School,Grade 5,Grade 8,36.2282154457,-86.7221587445,http://schools.mnps.org/isaac-litton-middle-prep,Stratford,Ms Chara  Rand,"(36.2282154457, -86.7221587445)"
152,Ivanetta H. Davis Learning Center at Bordeaux,1910 South Hamilton Road,Nashville,TN,37218,(615)291-6355,7010,Elementary School,Grade P3,Grade P4,36.1915875124,-86.832635707,http://schools.mnps.org/ivanetta-h-davis-early-learning-center,,Ms. Jessica Hardin,"(36.1915875124, -86.832635707)"
310,J.E. Moss Elementary,4701 Bowfield Drive,Antioch,TN,37013,(615)333-5200,370,Elementary School,Grade P3,Grade 4,36.0673533812,-86.6697465788,http://schools.mnps.org/je-moss-elementary-school,Antioch,Mr. Anthony  Febles,"(36.0673533812, -86.6697465788)"
120,Jere Baxter Middle,350 Hart Lane,Nashville,TN,37207,(615)262-6710,375,Middle School,Grade 5,Grade 8,36.2190280292,-86.7508830358,http://schools.mnps.org/jere-baxter-middle-prep,Maplewood,Ms. Traci Sloss,"(36.2190280292, -86.7508830358)"
465,Joelton Elementary,7141  Whites Creek Pk,Joelton,TN,37080,(615)876-5110,380,Elementary School,Grade P4,Grade 4,36.315679553,-86.8680398063,http://schools.mnps.org/joelton-elementary-school,Whites Creek,Dr. Rebecca  Welch,"(36.315679553, -86.8680398063)"
470,Joelton Middle,3500 Old Clarksville Pk.,Joelton,TN,37080,(615)876-5100,385,Middle School,Grade 5,Grade 8,36.3138460672,-86.8657762415,http://schools.mnps.org/joelton-middle-prep,Whites Creek,Mr. Todd Irving,"(36.3138460672, -86.8657762415)"
790,John B. Whitsitt Elementary,110 Whitsett Rd,Nashville,TN,37210,(615)333-5600,390,Elementary School,Grade P3,Grade 4,36.1150448454,-86.7356845538,http://schools.mnps.org/whitsitt-elementary-school,Glencliff,Mr. Justin  Uppinghouse,"(36.1150448454, -86.7356845538)"
285,John Early Middle,1000 Cass Street,Nashville,TN,37208,(615)291-6369,386,Middle School,Grade 5,Grade 8,36.1871534218,-86.8047130677,http://schools.mnps.org/john-early-museum-magnet-middle-prep,Pearl-Cohn,Dr. Darwin L. Mason Jr,"(36.1871534218, -86.8047130677)"
498,John F. Kennedy Middle,2087 Hobson Pike,Antioch,TN,37013,(615)501-7900,393,Middle School,Grade 5,Grade 8,36.0554667904,-86.6006047025,http://schools.mnps.org/john-f-kennedy-middle-prep,Antioch,Dr. Sam  Braden,"(36.0554667904, -86.6006047025)"
615,John Overton High,4820 Franklin Road,Nashville,TN,37220,(615)333-5135,395,High School,Grade 9,Grade 12,36.0797992685,-86.7689945134,http://schools.mnps.org/john-overton-high-school,John Overton,Dr. Jill  Pittman,"(36.0797992685, -86.7689945134)"
563,John Trotwood Moore Middle,4425 Granny White Pike,Nashville,TN,37204,(615)298-8095,490,Middle School,Grade 5,Grade 8,36.0957722119,-86.801995019,http://schools.mnps.org/jt-moore-middle-prep,Hillsboro,Dr. Gary  Hughes,"(36.0957722119, -86.801995019)"
480,Johnson Alternative Learning Center,1200 2nd Ave S,Nashville,TN,37210,(615)749-3067,740,Non-Traditional - Hybrid,Grade 8,Grade 12,36.1453908839,-86.7640144621,http://schools.mnps.org/johnson-alternative-learning-center-mnps-middle,,Dr. Sharon  Braden,"(36.1453908839, -86.7640144621)"
485,Jones Elementary,1800 9th Avenue North,Nashville,TN,37208,(615)291-6382,387,Elementary School,Grade K,Grade 4,36.181153731,-86.8013978855,http://schools.mnps.org/jones-paideia-elementary-magnet-school,,Dr. Debra  Smith,"(36.181153731, -86.8013978855)"
380,Julia Green Elementary,3500 Hobbs Rd,Nashville,TN,37215,(615)298-8082,415,Elementary School,Grade K,Grade 4,36.1027239829,-86.8331193121,http://schools.mnps.org/julia-green-elementary-school,Hillsboro,Dr. Andrew T Davis,"(36.1027239829, -86.8331193121)"
512,KA @ The Crossings MS,5380 Hickory Hollow Parkway,Antioch,TN,37013,(615)810-8370,8105,Charter,Grade 5,Grade 8,36.0450664576,-86.6515834105,http://www.knowledgeacademies.org/,,Mr. Edon Katz,"(36.0450664576, -86.6515834105)"
502,KIPP Academy Nashville,123 Douglas Ave,Nashville,TN,37207,(615)226-4484x1,8002,Charter,Grade 5,Grade 8,36.1945359149,-86.7694392501,http://kippnashville.org/,,Ms. Hada Flores,"(36.1945359149, -86.7694392501)"
499,KIPP Academy Nashville Elementary,1000 Sevier Street,Nashville,TN,37206,(615)226-4484x5,8095,Charter,Grade K,Grade 3,36.1674762595,-86.7519101749,http://kippnashville.org/,Stratford,Amy  Galloway,"(36.1674762595, -86.7519101749)"
503,KIPP Nashville College Prep,3410 Knight Road,Nashville,TN,37207,(615)226-4484x2,8042,Charter,Grade 5,Grade 8,36.2375074649,-86.8037065355,http://kippnashville.org/,,Mrs. Nikki Miller-Olzewski,"(36.2375074649, -86.8037065355)"
501,KIPP Nashville College Prep Elementary,3410 Knight Rd.,Nashville,TN,37207,(615)226-4484x6,8085,Charter,Grade K,Grade 2,36.2382525836,-86.8036646566,http://kippnashville.org/,,Christa Thomas,"(36.2382525836, -86.8036646566)"
504,KIPP Nashville Collegiate High School,123 Douglas Avenue,Nashville,TN,37207,(615)226-4484x3,8011,Charter,Grade 9,Grade 12,36.1947984072,-86.7691857847,http://kippnashville.org/,,Mr. Jake  Ramsey,"(36.1947984072, -86.7691857847)"
511,Knowledge Academies High School,5320 Hickory Hollow Parkway,Antioch,TN,37013,(615)800-6814,8065,Charter,Grade 9,Grade 11,36.0452120214,-86.6518729615,http://www.knowledgeacademies.org/,,Art Fuller,"(36.0452120214, -86.6518729615)"
506,Knowledge Academy,5380 Hickory Hollow Parkway,Antioch,TN,37013,(615)810-8370,8012,Charter,Grade 5,Grade 8,36.0454015353,-86.6519937155,http://www.knowledgeacademies.org/,,Mr. Edon Katz,"(36.0454015353, -86.6519937155)"
122,Lakeview Elementary,455 Rural Hill Road,Nashville,TN,37217,(615)360-2912,430,Elementary School,Grade K,Grade 4,36.0788149596,-86.6300723113,http://schools.mnps.org/lakeview-elementary-design-center,Antioch,Dr. Shantrell Pirtle,"(36.0788149596, -86.6300723113)"
508,LEAD Academy,1704 Heiman Street,Nashville,TN,37208,(615)327-5422,8003,Charter,Grade 9,Grade 12,36.1478854755,-86.7639512965,http://high.leadacademy.org/,,Mr. Nic Frank,"(36.1478854755, -86.7639512965)"
507,LEAD Prep Southeast,531 Metroplex Dr.,Nashville,TN,37211,(615)678-0543,8013,Charter,Grade 5,Grade 9,36.0923357845,-86.7036708627,http://www.leadprepsoutheast.org/,,Chris  Elliott,"(36.0923357845, -86.7036708627)"
517,Liberty Collegiate Academy,3515 Gallatin Rd.,Nashville,TN,37216,(615)564-1965,8005,Charter,Grade 5,Grade 8,36.2120626994,-86.7329249332,http://www.republiccharterschools.org/,,Ms. Macy Bennett,"(36.2120626994, -86.7329249332)"
520,Lockeland Elementary,105 South 17th Street,Nashville,TN,37206,(615)258-1330,435,Elementary School,Grade K,Grade 4,36.1762250805,-86.7395204948,http://schools.mnps.org/lockeland-elementary-design-center,,Mrs. Christie  Lewis,"(36.1762250805, -86.7395204948)"
545,Madison Middle,300 Old Hickory Blvd West,Madison,TN,37115,(615)687-4018,622,Middle School,Grade 5,Grade 8,36.2638940195,-86.7162084879,http://schools.mnps.org/madison-middle-prep,Hunters Lane,Dr. Brian Mells,"(36.2638940195, -86.7162084879)"
550,Maplewood High,401 Walton Lane,Nashville,TN,37216,(615)262-6770,445,High School,Grade 9,Grade 12,36.2327519801,-86.7503393689,http://schools.mnps.org/maplewood-high-school,Maplewood,Dr. Keely Jones-Mason,"(36.2327519801, -86.7503393689)"
100,Margaret Allen Middle,500 Spence Lane,Nashville,TN,37210,(615)291-6385,450,Middle School,Grade 5,Grade 8,36.1460623437,-86.721646171,http://schools.mnps.org/margaret-allen-middle-prep,Antioch,Mrs. Kisha  Stinson-Cox,"(36.1460623437, -86.721646171)"
497,Martin Luther King Jr School,613 17th Avenue North,Nashville,TN,37203,(615)329-8400,456,High School,Grade 7,Grade 12,36.1616756426,-86.8004738094,http://schools.mnps.org/martin-luther-king-jr-academic-magnet-high-school,,Dr. Angela M McShepard-Ray,"(36.1616756426, -86.8004738094)"
682,May Werthan Shayne Elementary School,6217 Nolensville Road,Nashville,TN,37211,(615)332-3020,608,Elementary School,Grade P4,Grade 4,36.0210311721,-86.7146311916,http://schools.mnps.org/shayne-elementary-school,John Overton,Ms. Elayna Wilson,"(36.0210311721, -86.7146311916)"
695,STEM Prep Academy,1162 Foster Ave.,Nashville,TN,37210,(615)921-2200,8006,Charter,Grade 5,Grade 8,36.1351446302,-86.7386061567,http://stemprepacademy.org/,,Dr. Kristin  McGraner,"(36.1351446302, -86.7386061567)"
530,McGavock Elementary,275 McGavock Pike,Nashville,TN,37214,(615)885-8912,465,Elementary School,Grade K,Grade 4,36.1605589982,-86.6810349428,http://schools.mnps.org/mcgavock-elementary-school,McGavock,Dr. Kirk Gilmore,"(36.1605589982, -86.6810349428)"
